SuburbID;Country;Province;SuburbName;PostCode;Latitude;Longitude
1;South Africa;Eastern Cape;Gqaka;;-31.553917;28.210587
2;South Africa;Eastern Cape;Gqaqala;;-31.275246;28.422504
3;South Africa;Eastern Cape;Gqiba;;-32.293342;28.686302
4;South Africa;Eastern Cape;Gqobonco;;-31.623649;28.255605
5;South Africa;Eastern Cape;Gqogqora;;-31.466667;28.533333
6;South Africa;Eastern Cape;Gqola;;-33.175137;27.52234
7;South Africa;Eastern Cape;Gqoloma;;-30.881152;28.845627
8;South Africa;Eastern Cape;Gqora;;-33.116667;27.05
9;South Africa;Eastern Cape;Gqubeni;;-31.886576;29.055966
10;South Africa;Eastern Cape;Gqubonco;;-31.616963;28.193974
11;South Africa;Eastern Cape;Gqukangqa;;-31.019779;28.604282
12;South Africa;Eastern Cape;Gqukungqa;;-31.019779;28.604282
13;South Africa;Eastern Cape;Gqukunqa;;-31.019779;28.604282
14;South Africa;Eastern Cape;Gqunce;;-32.295741;28.379101
15;South Africa;Eastern Cape;Gqunge;;-32.450818;28.53111
16;South Africa;Eastern Cape;Gqunge Trading Store;;-32.466667;28.55
17;South Africa;Eastern Cape;Gqunqe;;-32.45;28.45
18;South Africa;Eastern Cape;Gqutyini;;-31.626616;27.881495
19;South Africa;Eastern Cape;Gqwesa;;-30.8943;28.742831
20;South Africa;Mpumalanga;Gqweta;;-24.909926;31.039323
21;South Africa;Eastern Cape;Graaff-Reinet;6280;-32.25;24.55
22;South Africa;Eastern Cape;Graaf Reinet;;-32.25;24.55
23;South Africa;Western Cape;Graafwater;8120;-32.154656;18.603187
24;South Africa;Western Cape;Grabouw;7160;-34.151519;19.015091
25;South Africa;Eastern Cape;Grahamstad;;-33.304216;26.53276
26;South Africa;Eastern Cape;Grahamstown;;-33.304216;26.53276
27;South Africa;Gauteng;Graley;;-25.766667;28.85
28;South Africa;KwaZulu Natal;Grantham Park;;-28.765959;31.899037
29;South Africa;North West;Grantion;;-27.057882;23.430365
30;South Africa;KwaZulu Natal;Grantleigh;;-28.85;29.633333
31;South Africa;North West;Grantleigh;;-25.857579;25.695491
32;South Africa;Northern Cape;Grasbult;;-29.64894;22.229218
33;South Africa;Mpumalanga;Graskop;;-24.931442;30.841908
34;South Africa;Gauteng;Grasmere;;-26.427497;27.86023
35;South Africa;Northern Cape;Graspan;;-30.106538;22.485489
36;South Africa;Northern Cape;Grasrug;;-27.613558;23.887684
37;South Africa;Eastern Cape;Grassdale;;-31.398824;26.510452
38;South Africa;Free State;Grasslands;;-29.155451;26.288537
39;South Africa;Eastern Cape;Grasslands;;-31.327672;26.306253
40;South Africa;Northern Cape;Grassmoor;;-29.92664;22.191315
41;South Africa;Eastern Cape;Grassridge;;-31.785588;25.452898
42;South Africa;Limpopo;Grassvallei;;-24.679431;29.333148
43;South Africa;Limpopo;Grass Valley;;-24.679431;29.333148
44;South Africa;Free State;Grassville;;-29.155451;26.288537
45;South Africa;Western Cape;Grassy Park;;-34.047195;18.498626
46;South Africa;Limpopo;Gravelotte;;-23.953075;30.618951
47;South Africa;North West;Grayfield;;-26.9;23.616667
48;South Africa;Western Cape;Great Brak River;;-34.043679;22.225741
49;South Africa;Eastern Cape;Greenfields;;-33.033298;27.862158
50;South Africa;Eastern Cape;Greenfontein;;-31.416667;25.9
51;South Africa;Western Cape;Greenhaven;;-34.040869;22.209714
52;South Africa;KwaZulu Natal;Greenhill;;-29.827099;30.306303
53;South Africa;Northern Cape;Green Island;;-28.616667;16.483333
54;South Africa;Eastern Cape;Greenlands;;-33.083333;26.766667
55;South Africa;Western Cape;Green Point;;-33.910012;18.403859
56;South Africa;Mpumalanga;Green Valley;;-24.598522;31.021159
57;South Africa;Gauteng;Greenview;;-25.731389;28.397778
58;South Africa;North West;Greenwich;;-26.170523;23.110501
59;South Africa;KwaZulu Natal;Greenwood Park;4051;-29.783333;31.016667
60;South Africa;Limpopo;Gregory;;-22.644641;28.946264
61;South Africa;Northern Cape;Grey Hill;;-28.133333;23.983333
62;South Africa;Mpumalanga;Greylingstad;;-26.744627;28.744426
63;South Africa;Free State;Greys;;-28.616667;28.816667
64;South Africa;Eastern Cape;Greystone;;-31.899608;26.04517
65;South Africa;KwaZulu Natal;Greystorie;;-29.071943;29.798419
66;South Africa;Western Cape;Greyton;;-34.050482;19.608844
67;South Africa;KwaZulu Natal;Greytown;;-29.064155;30.592786
68;South Africa;KwaZulu Natal;Greyville;;-29.833333;31
69;South Africa;Eastern Cape;Griebdale;;-31.483973;28.608894
70;South Africa;Northern Cape;Griekwastad;;-28.851407;23.252483
71;South Africa;Northern Cape;Griquatown;;-28.851407;23.252483
72;South Africa;Limpopo;Groblerbrug;;-22.999394;27.945833
73;South Africa;Limpopo;Groblersbrug;;-22.999394;27.945833
74;South Africa;Mpumalanga;Groblersdal;;-25.168434;29.394123
75;South Africa;Northern Cape;Groblershoop;;-28.895309;21.983782
76;South Africa;Northern Cape;Groendal;;-29.404751;22.417589
77;South Africa;Western Cape;Groendal;;-33.892644;19.100525
78;South Africa;Free State;Groen Draai;;-28.433253;28.587358
79;South Africa;Eastern Cape;Groenedal;;-31.666667;27.366667
80;South Africa;Free State;Groenfontein;;-30.072403;26.331926
81;South Africa;Eastern Cape;Groenfontein;;-31.639395;26.133002
82;South Africa;Western Cape;Groenfontein;;-33.108493;19.347758
83;South Africa;KwaZulu Natal;Groenkloof;0181;-27.416667;30.283333
84;South Africa;Eastern Cape;Groenkloof;;-31.780887;25.509056
85;South Africa;Free State;Groenpoort;;-30.416233;26.689412
86;South Africa;Gauteng;Groenpunt;;-26.826341;28.038443
87;South Africa;Western Cape;Groenpunt;;-33.910012;18.403859
88;South Africa;Free State;Groenvlakte;;-30.028035;26.109107
89;South Africa;KwaZulu Natal;Groenvlei;;-27.459055;30.23027
90;South Africa;Eastern Cape;Groenvlei;;-31.021026;26.403782
91;South Africa;Limpopo;Groenvlei;;-24.266667;27.483333
92;South Africa;Limpopo;Groesbeek;;-23.866667;28.433333
93;South Africa;Northern Cape;Grootberg;;-30.283333;17.733333
94;South Africa;Western Cape;Groot-Brakrivier;;-34.043679;22.225741
95;South Africa;Free State;Grootdam;;-29.380768;26.920356
